Title,Year,Quote,Trans
Bodyguard,Release Year - 2011,"Main ek bodyguard hoon ... meri duty ke ilawa na mujhe kuch dikhai deta hai, na mujhe kuch sunai deta hai","I am a bodyguard ... other than my duty I can't see anything, nor can't I hear anything"

Bodyguard,Release Year - 2011,Bachne waale ko har baar naseeb ki zaroorat padti hai ... aur maarne waale ko sirf ek baar,The survivor needs luck every time ... but the killer only needs it once

Wanted,Release Year - 2009,"Tu ladki ke peeche bhagega, ladki paise ke peeche bhagegi ... tu paise ke peeche bhagega, ladki tere peeche bhagegi","If you run behind the girl, she will run behind money ... if you run behind money, the girl will run behind you"

Wanted,Release Year - 2009,Main sirf money bhai ke liye kaam karta hoon,I only work for money

Wanted,Release Year - 2009,Bahut goor raha hai ... kya behen ki shaadi karayega muhjse?,You are staring a lot ... do you want to wed your sister with me?

Wanted,Release Year - 2009,Ek bar joh maine commitment kar di ... uske baad toh main khud ki bhi nahi sunta,Once I commit to something ... after that I don�t even listen to myself

Dabangg,Release Year - 2010,Hum tum mein itne ched karenge ... ki confuse ho jaoge ki saans kahan se le ... aur paadein kahan se,I will make so many holes in you ... that you will be confused from where to breathe ... and from where to fart

Dabangg,Release Year - 2010,Thappad se darr nahi lagta sahab ... pyar se lagta hai,I am not afraid of a slap ... I am scared of love

Dabangg,Release Year - 2010,"There izz always a first time, always a next time","There is always a first time, always a next time"

Dabangg,Release Year - 2010,Hum yahan ke Robinhood hai ... Robinhood Pandey,I am the Robinhood over here ... Robinhood Pandey

Rang De Basanti,Release Year - 2006,"Zindagi jeene ke do hi tarike hote hai ... ek jo ho raha hai hone do, bardaasht karte jao ... ya phir zimmedari uthao usse badalneki","To live life there are only two ways ... one whatever is happening let it happen, keep tolerating it ... or else take the responsibility to change it"

Rang De Basanti,Release Year - 2006,"Ab bhi jiska khoon na khaula, khoon nahin voh paani hai ... joh desh ke kaam na aaye woh bekaar jawani hai","Even now whose blood doesn't boil, then that blood is water ... the youth who doesn't serve the country is a waste"

Rang De Basanti,Release Year - 2006,College di gate de is taraf hum life ko nachate hai ... te duji taraf life humko nachati hai,On this side of the college gate we make life to dance ... and on the other side of the gate life makes us dance

Rang De Basanti,Release Year - 2006,Mujhe hamesha lagta tha ki duniya mein do tarah ke insaan hote hain ... ek joh chupchap maut ka daman thaam lete hain ... aur doosre joh rote chilaate maut ki taraf badhte hain ... aur phir main teesre kisam ke insaanon se mila,I always thought that in the world there are two kinds of people ... one who go silently to their death ... and second who go crying and screaming to their death ... and then I met the third kind

Ghayal,Release Year - 1990,"Jakh marti hai police, utaar kar phenk do yeh vardi aur pehan lo Balwant Rai ka patta apne gale mein ... you bastards","Police is a waste, take out and throw the uniform, and wear Balwant Rai's leash in your neck ... you bastards"

Ghayal,Release Year - 1990,Aane waale chaubis ghanto mein tumhare chaubis tukde karke ... har tukde ka alag alag antim sanskar karoonga,"In the next 24 hours, I will cut you into 24 pieces ... and I will do the funeral rites of each piece separately"

Ghayal,Release Year - 1990,Rishwatkhori aur makaari ne tum logon ke jism mein maa ke doodh ke asar ko khatam kar diya hai,Bribery and cunningness has finished the affect of mothers milk in your body

Ghayal,Release Year - 1990,Andhe behron ka shehar hai yeh ... patthar hai yeh sab ke sab ... yahan toh bas sarr phoda ja sakta hai,This city is of the blind and the deaf ... everyone is a stone ... here only one can break their head

Ready,Release Year - 2011,"Zindagi mein teen cheez kabhi underestimate nahi karna ... I, Me and Myself!","In life don't underestimate three things ... I, Me and Myself!"

Ready,Release Year - 2011,Main modern zamane ka kutta hoon ... wooow wooow wooow,I am a dog of the modern era ... wooow wooow wooow

Ready,Release Year - 2011,"Boyfriend girlfriend se darta hai, girlfriend cockroach se darti hai, cockroach chuhe se darta hai, chuha billi se darta hai, billi kutte se darti hai, aur kutta aadmi se darta hai ... aur aadmi aurat se darta hai ... vaise hi jaise villain hero se darta hai","A boyfriend is scared of his girlfriend, girlfriend is scared of a cockroach, cockroach is scared of a mouse, mouse is scared of a cat, cat is scared of a dog, dog is scared of a man ... and man is scared of a woman ... just like a villain is scared of the hero"

Ready,Release Year - 2011,Agar aap chuhe hai to ye billi hai ... agar aap billi hai to ye kutte hai ... agar aap kutte hai to ye tendua hai ... agar aap tendua hai to ye sher hai ... agar aap sher hai to ye haathi hai ... agar haathi hai to ye dinasaur hai dinasaur,"If you're a mouse then he is a cat ... if you're a cat then he is a dog ... if you're a dog then he is a leopard ... if you're a leopard then he is a tiger ... if you're a tiger then he is a elephant ... if you're a elephant then he is a dinosaur, dinosaur"

3 Idiots,Release Year - 2009,Dost fail ho jaye toh dukh hota hai ... lekin dost first aa jaye toh zyada dukh hota hai,It feels bad when a friend fails ... but it feels even worse when he comes first

3 Idiots,Release Year - 2009,"Bachcha kabil bano, kabil ... kamyabi toh saali jhak maarke peeche bhagegi","Be capable my son, capable ... success will follow you no matter what"

